,0
1,122.02814483642578
2,122.0508041381836
3,122.10914611816406
4,122.0439682006836
5,122.14716339111328
6,122.06555938720703
7,122.0436019897461
8,122.06475830078125
9,122.06539154052734
10,122.06168365478516
